number;name;address;position;banking;bonus;status;Contract Name;Bike Stands;Available Bike Stands;Available Bikes;Last Update
54;054-CITÉ INTERNATIONALE DES CONGRÈS;2, rue de Jemmapes - 2, avenue Jean-Claude Bonduelle;47.2131800855278, -1.54495254166858;True;False;OPEN;nantes;34;17;17;2025-01-30T10:05:27+00:00
9;009-GUÉPIN;Angle rue du Calvaire / Rue Guépin;47.2158145871395, -1.55901748516744;False;False;OPEN;nantes;14;12;2;2025-01-30T10:04:31+00:00
100;100-GRÉNERAIE;Parc de la Gréneraie - NANTES;47.1999230929052, -1.53471754047048;True;False;OPEN;nantes;20;15;5;2025-01-30T10:05:27+00:00
24;024-VERSAILLES;25, quai de Versailles - Ile de Versailles;47.2245149071911, -1.55371196140233;False;False;OPEN;nantes;15;14;1;2025-01-30T10:04:34+00:00
13;013-BRETAGNE SUD;3, rue Pierre Chereau;47.216787949913, -1.55916106661899;False;False;OPEN;nantes;20;10;9;2025-01-30T10:04:44+00:00
105;105-HANGAR À BANANES;Boulevard des Antilles - quai Président Wilson - Grue Titan Grise;47.199408, -1.573184;False;False;OPEN;nantes;15;12;3;2025-01-30T10:05:29+00:00
107;107-MOUTONNERIE;Rue Francisco Ferrer;47.219901, -1.532947;False;False;OPEN;nantes;15;4;10;2025-01-30T10:03:48+00:00
35;035-JEAN V;Rue Pierre Louis Athénas;47.2123685630664, -1.56497287562598;False;False;OPEN;nantes;15;14;1;2025-01-30T10:05:42+00:00
33;033-RACINE;5, rue Racine;47.2135226137199, -1.5631408744314;False;False;OPEN;nantes;15;6;9;2025-01-30T10:05:23+00:00
31;031-BOURSE;Allée de la Bourse - Boulevard des Nations-Unies;47.2120830307532, -1.55908655123987;True;False;OPEN;nantes;22;13;9;2025-01-30T10:08:41+00:00
114;114-ATOUTSUD;Angle rue de l'Abbé Grégoire - avenue Maréchal de Tassigny - REZÉ;47.194493, -1.570365;True;False;OPEN;nantes;25;19;6;2025-01-30T10:05:43+00:00
51;051-TABARLY;5, boulevard de Berlin;47.2141946314965, -1.52973588598036;False;False;OPEN;nantes;20;12;8;2025-01-30T10:08:24+00:00
121;121-VICTOR RICHARD;12, place Victor Richard;47.228614, -1.533329;False;False;OPEN;nantes;15;8;7;2025-01-30T10:08:08+00:00
62;062-GARE DE NANTES NORD 2;22-23 boulevard de Stalingrad;47.218103, -1.541751;False;False;OPEN;nantes;40;38;1;2025-01-30T10:09:32+00:00
40;040-MADELEINE;Quai Moncousu - Pont Général Audibert;47.2088046424378, -1.55041191411915;False;False;OPEN;nantes;21;14;7;2025-01-30T10:08:31+00:00
106;106-GARENNES;2, rue des Garennes;47.202127, -1.5787;False;False;OPEN;nantes;15;4;11;2025-01-30T10:07:45+00:00
89;089-SAINT-AIGNAN;65, boulevard Saint-Aignan;47.2074386375471, -1.57868926431099;False;False;OPEN;nantes;14;3;11;2025-01-30T10:09:42+00:00
34;034-MÉDIATHÈQUE;24, quai de la Fosse;47.2108869258159, -1.56174490565258;True;False;OPEN;nantes;25;22;3;2025-01-30T10:09:34+00:00
103;103-GRUE JAUNE;Grue Jaune - Face au mail des Chantiers;47.204879, -1.569191;False;False;OPEN;nantes;21;11;10;2025-01-30T10:08:16+00:00
46;046-RÉPUBLIQUE;3, place de la République;47.2053240902952, -1.55518310791618;False;False;OPEN;nantes;26;9;17;2025-01-30T10:09:22+00:00
116;116-LIBERTÉ;Rond-Point de Louisiane;47.198124, -1.588395;False;False;OPEN;nantes;20;13;7;2025-01-30T10:09:08+00:00
75;075-LAMORICIÈRE;14 bis, rue Lamoricière - Place Beaumanoir;47.212308958847, -1.57136936022191;False;False;OPEN;nantes;15;13;2;2025-01-30T10:08:58+00:00
25;025-DALBY;61, boulevard Ernest Dalby;47.223508869812, -1.52995959270347;False;False;OPEN;nantes;15;7;8;2025-01-30T10:08:44+00:00
60;060-GARE DE NANTES NORD;27 boulevard Stalingrad;47.217212, -1.543517;True;False;OPEN;nantes;40;36;4;2025-01-30T10:07:52+00:00
124;124-PAS ENCHANTÉS;Boulevard des Pas Enchantés - SAINT-SÉBASTIEN-SUR-LOIRE;47.205239, -1.522726;True;False;OPEN;nantes;25;11;14;2025-01-30T10:09:02+00:00
101;101-PIRMIL;13, rue Esnoul des Châtelets;47.1965313642396, -1.54156809120326;True;False;OPEN;nantes;28;17;11;2025-01-30T10:09:17+00:00
126;126-GARE DE CHANTENAY;7, boulevard Maréchal Alphonse Juin;47.19773, -1.594891;False;False;OPEN;nantes;16;11;5;2025-01-30T10:08:58+00:00
